# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
24.919     180.000     22.000     265.000     4.03201e-01
24.919     180.000     78.000     244.000     3.41477e-01
24.919     180.000     87.500     255.000     2.62376e-01
24.919     180.000     13.000     236.000     3.28208e-01
24.919     180.000     79.500     96.000     3.10111e-01
24.919     180.000     80.000     71.000     3.05472e-01
24.919     180.000     55.500     3.000     5.49369e-01
24.919     180.000     7.500     346.000     2.77124e-01
24.919     180.000     40.000     34.000     4.82569e-01
24.919     180.000     41.000     265.000     1.72555e-01
24.919     180.000     27.000     281.000     4.33809e-01
24.919     180.000     22.000     229.000     2.36677e-01
24.919     180.000     54.000     3.000     5.47755e-01
24.919     180.000     44.500     152.000     1.22665e-01
24.919     180.000     46.500     122.000     2.61121e-01
24.919     180.000     41.500     279.000     2.04554e-01
